Date,Open,High,Low,Close
2021-12-16,1.12903,1.13603,1.12811,1.13336
2021-12-17,1.13335,1.13488,1.1235,1.1237
2021-12-20,1.12371,1.13037,1.12344,1.12771
2021-12-21,1.12771,1.13026,1.12607,1.12871
2021-12-22,1.12872,1.13423,1.12644,1.13265
2021-12-23,1.13263,1.13422,1.129,1.13228
2021-12-24,1.13227,1.13433,1.13031,1.13102
2021-12-27,1.13101,1.13344,1.13028,1.13294
2021-12-28,1.13293,1.13331,1.12895,1.1313
2021-12-29,1.13131,1.13688,1.12737,1.13595
2021-12-30,1.13595,1.13597,1.12984,1.13222
2021-12-31,1.13219,1.13863,1.13032,1.13667
2022-01-03,1.1369,1.13782,1.12797,1.13017
2022-01-04,1.13016,1.13224,1.12721,1.12827
2022-01-05,1.12826,1.13463,1.12769,1.13105
2022-01-06,1.13104,1.13318,1.12845,1.12949
2022-01-07,1.12947,1.13647,1.12899,1.13593
2022-01-10,1.13515,1.13602,1.12847,1.13299
2022-01-11,1.13297,1.13752,1.1313,1.13658
2022-01-12,1.13657,1.14526,1.13547,1.14394
2022-01-13,1.14393,1.14817,1.14357,1.14564
2022-01-14,1.14564,1.14827,1.13984,1.1409
2022-01-17,1.14118,1.14344,1.13917,1.141
2022-01-18,1.14099,1.14214,1.13146,1.13286
2022-01-19,1.13289,1.13571,1.13187,1.13429
2022-01-20,1.13427,1.13688,1.13031,1.13128
2022-01-21,1.13129,1.13596,1.13009,1.13418
2022-01-24,1.13396,1.1345,1.12904,1.13236
2022-01-25,1.13235,1.1324,1.12631,1.13028
2022-01-26,1.13028,1.13107,1.12354,1.12405
2022-01-27,1.12405,1.12432,1.11312,1.11445
2022-01-28,1.11446,1.11735,1.11213,1.1145
2022-01-31,1.11422,1.12478,1.1138,1.12292
2022-02-01,1.12293,1.12786,1.12209,1.1273
2022-02-02,1.12728,1.133,1.12665,1.12992
2022-02-03,1.12992,1.14514,1.12672,1.14355
2022-02-04,1.14352,1.14837,1.14115,1.14477
2022-02-07,1.14638,1.14646,1.14151,1.1441
2022-02-08,1.14411,1.14487,1.13961,1.14205
2022-02-09,1.14208,1.14477,1.14024,1.14211
2022-02-10,1.14211,1.14948,1.13748,1.14112
2022-02-11,1.1411,1.1418,1.13296,1.13463
2022-02-14,1.13369,1.1369,1.12799,1.13056
2022-02-15,1.13057,1.13681,1.13031,1.13551
2022-02-16,1.1355,1.13957,1.13449,1.13728
2022-02-17,1.13726,1.1386,1.1323,1.13637
2022-02-18,1.13636,1.13769,1.1314,1.13203
2022-02-21,1.13186,1.13905,1.12963,1.13092
2022-02-22,1.13092,1.13667,1.1288,1.13287
2022-02-23,1.13286,1.13588,1.13001,1.13053
2022-02-24,1.13055,1.1306,1.11062,1.11905
2022-02-25,1.11906,1.12739,1.11659,1.12719
2022-02-28,1.11237,1.12464,1.11225,1.12141
2022-03-01,1.1214,1.12329,1.10896,1.11322
2022-03-02,1.11321,1.11437,1.10573,1.11123
2022-03-03,1.11119,1.11152,1.10334,1.10656
2022-03-04,1.10656,1.10665,1.08856,1.09311
2022-03-07,1.09199,1.09325,1.08059,1.0866
2022-03-08,1.0866,1.09582,1.08489,1.08978
2022-03-09,1.08984,1.10951,1.08965,1.10733
2022-03-10,1.10732,1.11212,1.0976,1.10133
2022-03-11,1.10132,1.10435,1.09018,1.09099
2022-03-14,1.09205,1.09938,1.09005,1.09426
2022-03-15,1.09426,1.10196,1.0926,1.09667
2022-03-16,1.09668,1.10466,1.095,1.10214
2022-03-17,1.10216,1.11375,1.10201,1.1099
2022-03-18,1.10991,1.11186,1.1003,1.10492
2022-03-21,1.10561,1.10701,1.10102,1.10167
2022-03-22,1.10166,1.10457,1.09608,1.10293
