Date,Open,High,Low,Close
2016-06-10,1.4463,1.44723,1.41794,1.42485
2016-06-13,1.42647,1.43279,1.41149,1.42039
2016-06-14,1.42039,1.42177,1.40888,1.4117
2016-06-15,1.41167,1.42173,1.4106,1.41928
2016-06-16,1.41931,1.42932,1.40123,1.42932
2016-06-17,1.42922,1.43873,1.42213,1.43535
2016-06-20,1.44694,1.47184,1.44336,1.46709
2016-06-21,1.46709,1.47835,1.46156,1.46626
2016-06-22,1.46626,1.4844,1.46409,1.47863
2016-06-23,1.47865,1.50177,1.42848,1.45589
2016-06-24,1.45583,1.46504,1.32271,1.36595
2016-06-27,1.34251,1.34863,1.31208,1.32246
2016-06-28,1.32245,1.34191,1.32184,1.33525
2016-06-29,1.33524,1.35328,1.32865,1.34513
2016-06-30,1.34508,1.34963,1.32052,1.33292
2016-07-01,1.33292,1.33492,1.32438,1.32718
2016-07-04,1.32448,1.33403,1.32406,1.32785
2016-07-05,1.32786,1.32808,1.29496,1.29599
2016-07-06,1.29597,1.30154,1.27971,1.29177
2016-07-07,1.29179,1.30468,1.28782,1.29096
2016-07-08,1.29093,1.3018,1.29059,1.29529
2016-07-11,1.29461,1.30175,1.28502,1.29826
2016-07-12,1.29821,1.32946,1.29754,1.32695
2016-07-13,1.32694,1.33369,1.31048,1.31187
2016-07-14,1.31187,1.34784,1.31067,1.33508
2016-07-15,1.33511,1.34802,1.31316,1.31838
2016-07-18,1.3195,1.33144,1.31846,1.32639
2016-07-19,1.32639,1.32712,1.30737,1.31046
2016-07-20,1.31046,1.32745,1.30644,1.32441
2016-07-21,1.3244,1.32686,1.3156,1.32349
2016-07-22,1.32349,1.32911,1.30786,1.3109
2016-07-25,1.31406,1.31645,1.30917,1.31039
2016-07-26,1.31038,1.31754,1.30571,1.31472
2016-07-27,1.31473,1.32396,1.30723,1.32273
2016-07-28,1.32271,1.32481,1.31169,1.31614
2016-07-29,1.31614,1.3301,1.31517,1.32224
2016-08-01,1.3222,1.32719,1.31624,1.31841
2016-08-02,1.31841,1.33653,1.31716,1.3336
